,attempt,t,alpha,gamma,rar,radr,plr,plrr,minv,maxv,light,left,right,oncoming,planner,state,action,reward,deadline,total_reward,successes,at-none,at-forward,at-left,at-right
0,1.0,0.0,0.8,0.5,1.0,0.9,1.0,0.9,0.0,5.0,green,None,None,None,forward,10000.0,forward,2.0,20.0,2.0,0.0,0.0,1.0,0.0,0.0
1,1.0,1.0,0.8,0.5,1.0,0.9,0.9,0.9,0.0,5.0,red,None,None,None,forward,0.0,forward,-1.0,19.0,1.0,0.0,0.0,2.0,0.0,0.0
2,1.0,2.0,0.8,0.5,1.0,0.9,0.81,0.9,0.0,5.0,red,None,None,None,forward,0.0,forward,-1.0,18.0,0.0,0.0,0.0,3.0,0.0,0.0
3,1.0,3.0,0.8,0.5,1.0,0.9,0.729,0.9,0.0,5.0,green,None,None,None,forward,10000.0,left,0.5,17.0,0.5,0.0,0.0,3.0,1.0,0.0
4,1.0,4.0,0.8,0.5,0.9,0.9,0.729,0.9,0.0,5.0,green,None,None,None,right,10001.0,right,2.0,16.0,2.5,0.0,0.0,3.0,1.0,1.0
5,1.0,5.0,0.8,0.5,0.9,0.9,0.6561,0.9,0.0,5.0,green,None,None,None,right,10001.0,left,0.5,15.0,3.0,0.0,0.0,3.0,2.0,1.0
6,1.0,6.0,0.8,0.5,0.81,0.9,0.6561,0.9,0.0,5.0,red,None,None,None,right,1.0,right,2.0,14.0,5.0,0.0,0.0,3.0,2.0,2.0
7,1.0,7.0,0.8,0.5,0.81,0.9,0.59049,0.9,0.0,5.0,green,None,None,None,right,10001.0,left,0.5,13.0,5.5,0.0,0.0,3.0,3.0,2.0
8,1.0,8.0,0.8,0.5,0.729,0.9,0.59049,0.9,0.0,5.0,red,None,None,None,left,2.0,left,-1.0,12.0,4.5,0.0,0.0,3.0,4.0,2.0
9,1.0,9.0,0.8,0.5,0.729,0.9,0.59049,0.9,0.0,5.0,red,None,None,None,left,2.0,left,-1.0,11.0,3.5,0.0,0.0,3.0,5.0,2.0
10,1.0,10.0,0.8,0.5,0.729,0.9,0.531441,0.9,0.0,5.0,green,None,None,None,left,10002.0,None,1.0,10.0,4.5,0.0,1.0,3.0,5.0,2.0
11,1.0,11.0,0.8,0.5,0.6561,0.9,0.531441,0.9,0.0,5.0,green,None,None,None,left,10002.0,left,2.0,9.0,6.5,0.0,1.0,3.0,6.0,2.0
12,1.0,12.0,0.8,0.5,0.6561,0.9,0.531441,0.9,0.0,5.0,green,None,None,None,left,10002.0,left,2.0,8.0,8.5,0.0,1.0,3.0,7.0,2.0
13,1.0,13.0,0.8,0.5,0.6561,0.9,0.4782969,0.9,0.0,5.0,red,None,None,None,forward,0.0,right,0.5,7.0,9.0,0.0,1.0,3.0,7.0,3.0
14,1.0,14.0,0.8,0.5,0.6561,0.9,0.4782969,0.9,0.0,5.0,green,None,None,None,right,10001.0,right,2.0,6.0,11.0,0.0,1.0,3.0,7.0,4.0
15,1.0,15.0,0.8,0.5,0.59049,0.9,0.4782969,0.9,0.0,5.0,green,None,None,None,right,10001.0,right,2.0,5.0,13.0,0.0,1.0,3.0,7.0,5.0
16,1.0,16.0,0.8,0.5,0.59049,0.9,0.43046721,0.9,0.0,5.0,red,None,None,None,right,1.0,right,2.0,4.0,15.0,0.0,1.0,3.0,7.0,6.0
17,1.0,17.0,0.8,0.5,0.59049,0.9,0.43046721,0.9,0.0,5.0,green,forward,None,None,forward,11000.0,right,0.5,3.0,15.5,0.0,1.0,3.0,7.0,7.0
18,1.0,18.0,0.8,0.5,0.531441,0.9,0.43046721,0.9,0.0,5.0,green,None,None,None,right,10001.0,right,2.0,2.0,17.5,0.0,1.0,3.0,7.0,8.0
19,1.0,19.0,0.8,0.5,0.4782969,0.9,0.43046721,0.9,0.0,5.0,red,None,None,None,right,1.0,right,2.0,1.0,19.5,0.0,1.0,3.0,7.0,9.0
20,1.0,20.0,0.8,0.5,0.4782969,0.9,0.387420489,0.9,0.0,5.0,green,None,None,None,right,10001.0,right,2.0,0.0,21.5,0.0,1.0,3.0,7.0,10.0
21,2.0,0.0,0.8,0.5,0.4782969,0.9,0.3486784401,0.9,0.0,5.0,green,None,None,None,right,10001.0,right,2.0,20.0,23.5,0.0,1.0,3.0,7.0,11.0
