,attempt,t,alpha,gamma,rar,radr,plr,plrr,minv,maxv,light,left,right,oncoming,planner,state,action,reward,deadline,total_reward,successes,at-none,at-forward,at-left,at-right
0,1.0,0.0,0.7,0.5,1.0,0.9,1.0,0.9,0.0,5.0,green,None,None,None,right,10001.0,right,2.0,40.0,2.0,0.0,0.0,0.0,0.0,1.0
1,1.0,1.0,0.7,0.5,1.0,0.9,0.9,0.9,0.0,5.0,green,None,None,None,right,10001.0,right,2.0,39.0,4.0,0.0,0.0,0.0,0.0,2.0
2,1.0,2.0,0.7,0.5,1.0,0.9,0.81,0.9,0.0,5.0,red,None,None,None,forward,0.0,forward,-1.0,38.0,3.0,0.0,0.0,1.0,0.0,2.0
3,1.0,3.0,0.7,0.5,1.0,0.9,0.729,0.9,0.0,5.0,red,None,None,None,forward,0.0,forward,-1.0,37.0,2.0,0.0,0.0,2.0,0.0,2.0
4,1.0,4.0,0.7,0.5,1.0,0.9,0.6561,0.9,0.0,5.0,green,None,None,None,forward,10000.0,None,1.0,36.0,3.0,0.0,1.0,2.0,0.0,2.0
5,1.0,5.0,0.7,0.5,0.9,0.9,0.6561,0.9,0.0,5.0,green,None,None,None,forward,10000.0,forward,2.0,35.0,5.0,0.0,1.0,3.0,0.0,2.0
6,1.0,6.0,0.7,0.5,0.9,0.9,0.59049,0.9,0.0,5.0,green,None,None,None,forward,10000.0,forward,2.0,34.0,7.0,0.0,1.0,4.0,0.0,2.0
7,1.0,7.0,0.7,0.5,0.9,0.9,0.531441,0.9,0.0,5.0,red,None,None,None,forward,0.0,forward,-1.0,33.0,6.0,0.0,1.0,5.0,0.0,2.0
8,1.0,8.0,0.7,0.5,0.9,0.9,0.4782969,0.9,0.0,5.0,red,None,None,None,forward,0.0,forward,-1.0,32.0,5.0,0.0,1.0,6.0,0.0,2.0
9,1.0,9.0,0.7,0.5,0.81,0.9,0.4782969,0.9,0.0,5.0,green,None,None,None,forward,10000.0,forward,2.0,31.0,7.0,0.0,1.0,7.0,0.0,2.0
10,1.0,10.0,0.7,0.5,0.729,0.9,0.4782969,0.9,0.0,5.0,red,None,None,None,forward,0.0,left,-1.0,30.0,6.0,0.0,1.0,7.0,1.0,2.0
11,1.0,11.0,0.7,0.5,0.729,0.9,0.4782969,0.9,0.0,5.0,red,None,None,None,forward,0.0,left,-1.0,29.0,5.0,0.0,1.0,7.0,2.0,2.0
12,1.0,12.0,0.7,0.5,0.6561,0.9,0.4782969,0.9,0.0,5.0,green,None,right,None,forward,10300.0,forward,2.0,28.0,7.0,0.0,1.0,8.0,2.0,2.0
13,1.0,13.0,0.7,0.5,0.6561,0.9,0.43046721,0.9,0.0,5.0,red,None,None,None,forward,0.0,forward,-1.0,27.0,6.0,0.0,1.0,9.0,2.0,2.0
14,1.0,14.0,0.7,0.5,0.6561,0.9,0.387420489,0.9,0.0,5.0,red,None,None,None,forward,0.0,forward,-1.0,26.0,5.0,0.0,1.0,10.0,2.0,2.0
15,1.0,15.0,0.7,0.5,0.6561,0.9,0.3486784401,0.9,0.0,5.0,red,None,None,None,forward,0.0,None,1.0,25.0,6.0,0.0,2.0,10.0,2.0,2.0
16,1.0,16.0,0.7,0.5,0.6561,0.9,0.3486784401,0.9,0.0,5.0,green,None,None,None,forward,10000.0,forward,2.0,24.0,8.0,0.0,2.0,11.0,2.0,2.0
17,1.0,17.0,0.7,0.5,0.6561,0.9,0.31381059609,0.9,0.0,5.0,green,None,None,None,forward,10000.0,forward,12.0,23.0,20.0,1.0,2.0,12.0,2.0,2.0
18,2.0,0.0,0.7,0.5,0.6561,0.9,0.31381059609,0.9,0.0,5.0,green,None,None,None,left,10002.0,forward,0.5,55.0,20.5,1.0,2.0,13.0,2.0,2.0
19,2.0,1.0,0.7,0.5,0.6561,0.9,0.31381059609,0.9,0.0,5.0,green,None,None,None,left,10002.0,forward,0.5,54.0,21.0,1.0,2.0,14.0,2.0,2.0
20,2.0,2.0,0.7,0.5,0.6561,0.9,0.31381059609,0.9,0.0,5.0,red,None,None,None,left,2.0,None,1.0,53.0,22.0,1.0,3.0,14.0,2.0,2.0
21,2.0,3.0,0.7,0.5,0.59049,0.9,0.31381059609,0.9,0.0,5.0,red,None,None,None,left,2.0,left,-1.0,52.0,21.0,1.0,3.0,14.0,3.0,2.0
22,2.0,4.0,0.7,0.5,0.59049,0.9,0.282429536481,0.9,0.0,5.0,green,None,None,None,left,10002.0,right,0.5,51.0,21.5,1.0,3.0,14.0,3.0,3.0
23,2.0,5.0,0.7,0.5,0.531441,0.9,0.282429536481,0.9,0.0,5.0,red,None,None,None,left,2.0,left,-1.0,50.0,20.5,1.0,3.0,14.0,4.0,3.0
24,2.0,6.0,0.7,0.5,0.4782969,0.9,0.282429536481,0.9,0.0,5.0,green,None,None,None,left,10002.0,forward,0.5,49.0,21.0,1.0,3.0,15.0,4.0,3.0
25,2.0,7.0,0.7,0.5,0.43046721,0.9,0.282429536481,0.9,0.0,5.0,red,None,None,None,right,1.0,left,-1.0,48.0,20.0,1.0,3.0,15.0,5.0,3.0
26,2.0,8.0,0.7,0.5,0.43046721,0.9,0.282429536481,0.9,0.0,5.0,green,None,None,None,right,10001.0,right,2.0,47.0,22.0,1.0,3.0,15.0,5.0,4.0
27,2.0,9.0,0.7,0.5,0.43046721,0.9,0.254186582833,0.9,0.0,5.0,green,None,None,None,right,10001.0,right,2.0,46.0,24.0,1.0,3.0,15.0,5.0,5.0
28,2.0,10.0,0.7,0.5,0.43046721,0.9,0.22876792455,0.9,0.0,5.0,red,None,None,None,right,1.0,forward,-1.0,45.0,23.0,1.0,3.0,16.0,5.0,5.0
29,2.0,11.0,0.7,0.5,0.43046721,0.9,0.22876792455,0.9,0.0,5.0,red,None,None,None,right,1.0,forward,-1.0,44.0,22.0,1.0,3.0,17.0,5.0,5.0
30,2.0,12.0,0.7,0.5,0.43046721,0.9,0.22876792455,0.9,0.0,5.0,red,None,None,None,right,1.0,left,-1.0,43.0,21.0,1.0,3.0,17.0,6.0,5.0
