,attempt,t,alpha,gamma,rar,radr,plr,plrr,minv,maxv,light,left,right,oncoming,planner,state,action,reward,deadline,total_reward,successes,at-none,at-forward,at-left,at-right
0,1.0,0.0,0.7,0.5,1.0,0.9,1.0,0.9,0.0,5.0,green,None,None,None,forward,10000.0,forward,2.0,40.0,2.0,0.0,0.0,1.0,0.0,0.0
1,1.0,1.0,0.7,0.5,1.0,0.9,0.9,0.9,0.0,5.0,green,None,None,None,forward,10000.0,forward,2.0,39.0,4.0,0.0,0.0,2.0,0.0,0.0
2,1.0,2.0,0.7,0.5,1.0,0.9,0.81,0.9,0.0,5.0,green,None,right,None,forward,10300.0,forward,2.0,38.0,6.0,0.0,0.0,3.0,0.0,0.0
3,1.0,3.0,0.7,0.5,1.0,0.9,0.729,0.9,0.0,5.0,green,None,None,right,forward,10030.0,forward,2.0,37.0,8.0,0.0,0.0,4.0,0.0,0.0
4,1.0,4.0,0.7,0.5,1.0,0.9,0.6561,0.9,0.0,5.0,red,None,None,None,forward,0.0,forward,-1.0,36.0,7.0,0.0,0.0,5.0,0.0,0.0
5,1.0,5.0,0.7,0.5,0.9,0.9,0.6561,0.9,0.0,5.0,red,None,None,None,forward,0.0,forward,-1.0,35.0,6.0,0.0,0.0,6.0,0.0,0.0
6,1.0,6.0,0.7,0.5,0.9,0.9,0.59049,0.9,0.0,5.0,green,None,None,None,forward,10000.0,forward,2.0,34.0,8.0,0.0,0.0,7.0,0.0,0.0
7,1.0,7.0,0.7,0.5,0.9,0.9,0.531441,0.9,0.0,5.0,green,None,None,None,forward,10000.0,left,0.5,33.0,8.5,0.0,0.0,7.0,1.0,0.0
8,1.0,8.0,0.7,0.5,0.81,0.9,0.531441,0.9,0.0,5.0,red,None,None,None,right,1.0,right,2.0,32.0,10.5,0.0,0.0,7.0,1.0,1.0
9,1.0,9.0,0.7,0.5,0.81,0.9,0.4782969,0.9,0.0,5.0,red,None,None,None,left,2.0,forward,-1.0,31.0,9.5,0.0,0.0,8.0,1.0,1.0
10,1.0,10.0,0.7,0.5,0.729,0.9,0.4782969,0.9,0.0,5.0,green,None,None,None,left,10002.0,left,2.0,30.0,11.5,0.0,0.0,8.0,2.0,1.0
11,1.0,11.0,0.7,0.5,0.6561,0.9,0.4782969,0.9,0.0,5.0,red,None,None,None,forward,0.0,forward,-1.0,29.0,10.5,0.0,0.0,9.0,2.0,1.0
12,1.0,12.0,0.7,0.5,0.6561,0.9,0.43046721,0.9,0.0,5.0,green,None,None,None,forward,10000.0,forward,2.0,28.0,12.5,0.0,0.0,10.0,2.0,1.0
13,1.0,13.0,0.7,0.5,0.6561,0.9,0.387420489,0.9,0.0,5.0,red,None,None,None,forward,0.0,left,-1.0,27.0,11.5,0.0,0.0,10.0,3.0,1.0
14,1.0,14.0,0.7,0.5,0.59049,0.9,0.387420489,0.9,0.0,5.0,red,None,None,None,forward,0.0,forward,-1.0,26.0,10.5,0.0,0.0,11.0,3.0,1.0
15,1.0,15.0,0.7,0.5,0.59049,0.9,0.3486784401,0.9,0.0,5.0,green,None,None,None,forward,10000.0,forward,12.0,25.0,22.5,1.0,0.0,12.0,3.0,1.0
16,2.0,0.0,0.7,0.5,0.59049,0.9,0.31381059609,0.9,0.0,5.0,green,None,None,None,forward,10000.0,forward,2.0,25.0,24.5,1.0,0.0,13.0,3.0,1.0
17,2.0,1.0,0.7,0.5,0.59049,0.9,0.282429536481,0.9,0.0,5.0,red,None,None,None,forward,0.0,None,1.0,24.0,25.5,1.0,1.0,13.0,3.0,1.0
18,2.0,2.0,0.7,0.5,0.59049,0.9,0.282429536481,0.9,0.0,5.0,red,None,None,None,forward,0.0,forward,-1.0,23.0,24.5,1.0,1.0,14.0,3.0,1.0
19,2.0,3.0,0.7,0.5,0.531441,0.9,0.282429536481,0.9,0.0,5.0,green,None,None,None,forward,10000.0,forward,2.0,22.0,26.5,1.0,1.0,15.0,3.0,1.0
20,2.0,4.0,0.7,0.5,0.531441,0.9,0.254186582833,0.9,0.0,5.0,green,None,None,None,left,10002.0,None,1.0,21.0,27.5,1.0,2.0,15.0,3.0,1.0
21,2.0,5.0,0.7,0.5,0.531441,0.9,0.254186582833,0.9,0.0,5.0,red,None,None,None,left,2.0,left,-1.0,20.0,26.5,1.0,2.0,15.0,4.0,1.0
22,2.0,6.0,0.7,0.5,0.531441,0.9,0.22876792455,0.9,0.0,5.0,red,None,None,None,left,2.0,left,-1.0,19.0,25.5,1.0,2.0,15.0,5.0,1.0
23,2.0,7.0,0.7,0.5,0.4782969,0.9,0.22876792455,0.9,0.0,5.0,red,None,None,None,left,2.0,None,1.0,18.0,26.5,1.0,3.0,15.0,5.0,1.0
24,2.0,8.0,0.7,0.5,0.4782969,0.9,0.22876792455,0.9,0.0,5.0,red,None,None,None,left,2.0,right,0.5,17.0,27.0,1.0,3.0,15.0,5.0,2.0
25,2.0,9.0,0.7,0.5,0.43046721,0.9,0.22876792455,0.9,0.0,5.0,green,None,None,None,forward,10000.0,right,0.5,16.0,27.5,1.0,3.0,15.0,5.0,3.0
26,2.0,10.0,0.7,0.5,0.43046721,0.9,0.22876792455,0.9,0.0,5.0,green,None,None,None,right,10001.0,right,2.0,15.0,29.5,1.0,3.0,15.0,5.0,4.0
27,2.0,11.0,0.7,0.5,0.387420489,0.9,0.22876792455,0.9,0.0,5.0,red,None,None,None,right,1.0,right,2.0,14.0,31.5,1.0,3.0,15.0,5.0,5.0
28,2.0,12.0,0.7,0.5,0.387420489,0.9,0.22876792455,0.9,0.0,5.0,green,None,None,None,left,10002.0,None,1.0,13.0,32.5,1.0,4.0,15.0,5.0,5.0
29,2.0,13.0,0.7,0.5,0.387420489,0.9,0.22876792455,0.9,0.0,5.0,green,None,None,None,left,10002.0,None,1.0,12.0,33.5,1.0,5.0,15.0,5.0,5.0
30,2.0,14.0,0.7,0.5,0.3486784401,0.9,0.22876792455,0.9,0.0,5.0,green,None,None,None,left,10002.0,left,2.0,11.0,35.5,1.0,5.0,15.0,6.0,5.0
31,2.0,15.0,0.7,0.5,0.3486784401,0.9,0.22876792455,0.9,0.0,5.0,green,None,None,None,forward,10000.0,right,0.5,10.0,36.0,1.0,5.0,15.0,6.0,6.0
32,2.0,16.0,0.7,0.5,0.31381059609,0.9,0.22876792455,0.9,0.0,5.0,red,None,None,None,right,1.0,right,2.0,9.0,38.0,1.0,5.0,15.0,6.0,7.0
33,2.0,17.0,0.7,0.5,0.31381059609,0.9,0.22876792455,0.9,0.0,5.0,red,None,None,None,right,1.0,None,1.0,8.0,39.0,1.0,6.0,15.0,6.0,7.0
34,2.0,18.0,0.7,0.5,0.282429536481,0.9,0.22876792455,0.9,0.0,5.0,red,None,None,None,right,1.0,right,2.0,7.0,41.0,1.0,6.0,15.0,6.0,8.0
35,2.0,19.0,0.7,0.5,0.282429536481,0.9,0.22876792455,0.9,0.0,5.0,red,None,None,None,right,1.0,right,2.0,6.0,43.0,1.0,6.0,15.0,6.0,9.0
36,2.0,20.0,0.7,0.5,0.282429536481,0.9,0.205891132095,0.9,0.0,5.0,red,None,None,None,forward,0.0,None,1.0,5.0,44.0,1.0,7.0,15.0,6.0,9.0
37,2.0,21.0,0.7,0.5,0.282429536481,0.9,0.205891132095,0.9,0.0,5.0,green,None,None,None,forward,10000.0,forward,2.0,4.0,46.0,1.0,7.0,16.0,6.0,9.0
38,2.0,22.0,0.7,0.5,0.282429536481,0.9,0.185302018885,0.9,0.0,5.0,green,None,None,None,forward,10000.0,None,1.0,3.0,47.0,1.0,8.0,16.0,6.0,9.0
39,2.0,23.0,0.7,0.5,0.282429536481,0.9,0.185302018885,0.9,0.0,5.0,green,None,None,None,forward,10000.0,None,1.0,2.0,48.0,1.0,9.0,16.0,6.0,9.0
40,2.0,24.0,0.7,0.5,0.282429536481,0.9,0.185302018885,0.9,0.0,5.0,red,None,None,None,forward,0.0,forward,-1.0,1.0,47.0,1.0,9.0,17.0,6.0,9.0
41,2.0,25.0,0.7,0.5,0.282429536481,0.9,0.166771816997,0.9,0.0,5.0,red,None,None,None,forward,0.0,None,1.0,0.0,48.0,1.0,10.0,17.0,6.0,9.0
42,3.0,0.0,0.7,0.5,0.282429536481,0.9,0.166771816997,0.9,0.0,5.0,green,None,None,None,left,10002.0,left,2.0,25.0,50.0,1.0,10.0,17.0,7.0,9.0
43,3.0,1.0,0.7,0.5,0.282429536481,0.9,0.166771816997,0.9,0.0,5.0,green,None,None,None,forward,10000.0,forward,2.0,24.0,52.0,1.0,10.0,18.0,7.0,9.0
44,3.0,2.0,0.7,0.5,0.282429536481,0.9,0.166771816997,0.9,0.0,5.0,green,None,None,None,forward,10000.0,forward,2.0,23.0,54.0,1.0,10.0,19.0,7.0,9.0
45,3.0,3.0,0.7,0.5,0.282429536481,0.9,0.166771816997,0.9,0.0,5.0,red,None,None,None,forward,0.0,None,1.0,22.0,55.0,1.0,11.0,19.0,7.0,9.0
46,3.0,4.0,0.7,0.5,0.282429536481,0.9,0.166771816997,0.9,0.0,5.0,green,None,None,None,forward,10000.0,forward,2.0,21.0,57.0,1.0,11.0,20.0,7.0,9.0
47,3.0,5.0,0.7,0.5,0.282429536481,0.9,0.166771816997,0.9,0.0,5.0,green,None,None,None,right,10001.0,right,12.0,20.0,69.0,2.0,11.0,20.0,7.0,10.0
48,4.0,0.0,0.7,0.5,0.282429536481,0.9,0.166771816997,0.9,0.0,5.0,red,None,None,None,right,1.0,right,2.0,25.0,71.0,2.0,11.0,20.0,7.0,11.0
49,4.0,1.0,0.7,0.5,0.282429536481,0.9,0.166771816997,0.9,0.0,5.0,red,None,None,None,forward,0.0,None,1.0,24.0,72.0,2.0,12.0,20.0,7.0,11.0
50,4.0,2.0,0.7,0.5,0.254186582833,0.9,0.166771816997,0.9,0.0,5.0,red,None,None,None,forward,0.0,None,1.0,23.0,73.0,2.0,13.0,20.0,7.0,11.0
51,4.0,3.0,0.7,0.5,0.254186582833,0.9,0.166771816997,0.9,0.0,5.0,red,None,None,None,forward,0.0,None,1.0,22.0,74.0,2.0,14.0,20.0,7.0,11.0
52,4.0,4.0,0.7,0.5,0.254186582833,0.9,0.166771816997,0.9,0.0,5.0,red,None,None,None,forward,0.0,None,1.0,21.0,75.0,2.0,15.0,20.0,7.0,11.0
53,4.0,5.0,0.7,0.5,0.254186582833,0.9,0.166771816997,0.9,0.0,5.0,green,None,None,None,forward,10000.0,forward,2.0,20.0,77.0,2.0,15.0,21.0,7.0,11.0
54,4.0,6.0,0.7,0.5,0.254186582833,0.9,0.166771816997,0.9,0.0,5.0,green,None,None,None,forward,10000.0,forward,2.0,19.0,79.0,2.0,15.0,22.0,7.0,11.0
55,4.0,7.0,0.7,0.5,0.254186582833,0.9,0.166771816997,0.9,0.0,5.0,green,None,None,None,left,10002.0,left,2.0,18.0,81.0,2.0,15.0,22.0,8.0,11.0
56,4.0,8.0,0.7,0.5,0.254186582833,0.9,0.166771816997,0.9,0.0,5.0,green,None,None,None,forward,10000.0,forward,12.0,17.0,93.0,3.0,15.0,23.0,8.0,11.0
57,5.0,0.0,0.7,0.5,0.254186582833,0.9,0.150094635297,0.9,0.0,5.0,green,None,None,None,right,10001.0,right,2.0,25.0,95.0,3.0,15.0,23.0,8.0,12.0
58,5.0,1.0,0.7,0.5,0.22876792455,0.9,0.150094635297,0.9,0.0,5.0,green,forward,None,None,right,11001.0,right,2.0,24.0,97.0,3.0,15.0,23.0,8.0,13.0
59,5.0,2.0,0.7,0.5,0.22876792455,0.9,0.150094635297,0.9,0.0,5.0,green,None,None,None,left,10002.0,left,12.0,23.0,109.0,4.0,15.0,23.0,9.0,13.0
60,6.0,0.0,0.7,0.5,0.22876792455,0.9,0.150094635297,0.9,0.0,5.0,red,None,None,None,right,1.0,right,2.0,25.0,111.0,4.0,15.0,23.0,9.0,14.0
61,6.0,1.0,0.7,0.5,0.22876792455,0.9,0.150094635297,0.9,0.0,5.0,red,None,None,None,right,1.0,right,2.0,24.0,113.0,4.0,15.0,23.0,9.0,15.0
62,6.0,2.0,0.7,0.5,0.22876792455,0.9,0.135085171767,0.9,0.0,5.0,green,None,None,None,forward,10000.0,forward,2.0,23.0,115.0,4.0,15.0,24.0,9.0,15.0
63,6.0,3.0,0.7,0.5,0.22876792455,0.9,0.135085171767,0.9,0.0,5.0,red,None,None,None,forward,0.0,None,1.0,22.0,116.0,4.0,16.0,24.0,9.0,15.0
64,6.0,4.0,0.7,0.5,0.22876792455,0.9,0.135085171767,0.9,0.0,5.0,red,None,None,None,forward,0.0,None,1.0,21.0,117.0,4.0,17.0,24.0,9.0,15.0
65,6.0,5.0,0.7,0.5,0.22876792455,0.9,0.135085171767,0.9,0.0,5.0,red,None,None,None,forward,0.0,None,1.0,20.0,118.0,4.0,18.0,24.0,9.0,15.0
66,6.0,6.0,0.7,0.5,0.22876792455,0.9,0.135085171767,0.9,0.0,5.0,green,None,None,None,forward,10000.0,forward,2.0,19.0,120.0,4.0,18.0,25.0,9.0,15.0
67,6.0,7.0,0.7,0.5,0.22876792455,0.9,0.121576654591,0.9,0.0,5.0,red,None,None,None,left,2.0,None,1.0,18.0,121.0,4.0,19.0,25.0,9.0,15.0
68,6.0,8.0,0.7,0.5,0.22876792455,0.9,0.121576654591,0.9,0.0,5.0,red,None,None,None,left,2.0,left,-1.0,17.0,120.0,4.0,19.0,25.0,10.0,15.0
69,6.0,9.0,0.7,0.5,0.22876792455,0.9,0.109418989132,0.9,0.0,5.0,red,None,None,None,left,2.0,None,1.0,16.0,121.0,4.0,20.0,25.0,10.0,15.0
70,6.0,10.0,0.7,0.5,0.22876792455,0.9,0.109418989132,0.9,0.0,5.0,green,None,None,None,left,10002.0,left,12.0,15.0,133.0,5.0,20.0,25.0,11.0,15.0
71,7.0,0.0,0.7,0.5,0.22876792455,0.9,0.109418989132,0.9,0.0,5.0,red,None,None,None,right,1.0,right,2.0,30.0,135.0,5.0,20.0,25.0,11.0,16.0
