,attempt,t,alpha,gamma,rar,radr,plr,plrr,minv,maxv,light,left,right,oncoming,planner,state,action,reward,deadline,total_reward,successes,at-none,at-forward,at-left,at-right
0,1.0,0.0,0.7,0.5,0.0,0.9,1.0,0.9,0.0,5.0,green,None,None,None,forward,10000.0,forward,2.0,20.0,2.0,0.0,0.0,1.0,0.0,0.0
1,1.0,1.0,0.7,0.5,0.0,0.9,0.9,0.9,0.0,5.0,red,None,None,None,forward,0.0,forward,-1.0,19.0,1.0,0.0,0.0,2.0,0.0,0.0
2,1.0,2.0,0.7,0.5,0.0,0.9,0.81,0.9,0.0,5.0,red,None,None,None,forward,0.0,forward,-1.0,18.0,0.0,0.0,0.0,3.0,0.0,0.0
3,1.0,3.0,0.7,0.5,0.0,0.9,0.729,0.9,0.0,5.0,red,None,None,None,forward,0.0,forward,-1.0,17.0,-1.0,0.0,0.0,4.0,0.0,0.0
4,1.0,4.0,0.7,0.5,0.0,0.9,0.6561,0.9,0.0,5.0,green,None,None,None,forward,10000.0,forward,2.0,16.0,1.0,0.0,0.0,5.0,0.0,0.0
5,1.0,5.0,0.7,0.5,0.0,0.9,0.59049,0.9,0.0,5.0,green,None,None,None,forward,10000.0,forward,2.0,15.0,3.0,0.0,0.0,6.0,0.0,0.0
6,1.0,6.0,0.7,0.5,0.0,0.9,0.531441,0.9,0.0,5.0,red,None,None,None,forward,0.0,forward,-1.0,14.0,2.0,0.0,0.0,7.0,0.0,0.0
7,1.0,7.0,0.7,0.5,0.0,0.9,0.4782969,0.9,0.0,5.0,red,None,None,None,forward,0.0,forward,-1.0,13.0,1.0,0.0,0.0,8.0,0.0,0.0
8,1.0,8.0,0.7,0.5,0.0,0.9,0.43046721,0.9,0.0,5.0,red,None,None,None,forward,0.0,forward,-1.0,12.0,0.0,0.0,0.0,9.0,0.0,0.0
9,1.0,9.0,0.7,0.5,0.0,0.9,0.387420489,0.9,0.0,5.0,green,None,None,None,forward,10000.0,forward,12.0,11.0,12.0,1.0,0.0,10.0,0.0,0.0
10,2.0,0.0,0.7,0.5,0.0,0.9,0.3486784401,0.9,0.0,5.0,green,None,None,None,right,10001.0,forward,0.5,25.0,12.5,1.0,0.0,11.0,0.0,0.0
11,2.0,1.0,0.7,0.5,0.0,0.9,0.3486784401,0.9,0.0,5.0,red,None,None,None,right,1.0,right,2.0,24.0,14.5,1.0,0.0,11.0,0.0,1.0
12,2.0,2.0,0.7,0.5,0.0,0.9,0.31381059609,0.9,0.0,5.0,green,None,None,None,right,10001.0,right,2.0,23.0,16.5,1.0,0.0,11.0,0.0,2.0
13,2.0,3.0,0.7,0.5,0.0,0.9,0.31381059609,0.9,0.0,5.0,green,None,None,None,forward,10000.0,forward,2.0,22.0,18.5,1.0,0.0,12.0,0.0,2.0
14,2.0,4.0,0.7,0.5,0.0,0.9,0.282429536481,0.9,0.0,5.0,red,None,None,None,forward,0.0,left,-1.0,21.0,17.5,1.0,0.0,12.0,1.0,2.0
15,2.0,5.0,0.7,0.5,0.0,0.9,0.282429536481,0.9,0.0,5.0,red,None,None,None,forward,0.0,forward,-1.0,20.0,16.5,1.0,0.0,13.0,1.0,2.0
16,2.0,6.0,0.7,0.5,0.0,0.9,0.254186582833,0.9,0.0,5.0,red,None,None,None,forward,0.0,right,0.5,19.0,17.0,1.0,0.0,13.0,1.0,3.0
17,2.0,7.0,0.7,0.5,0.0,0.9,0.254186582833,0.9,0.0,5.0,red,None,None,None,left,2.0,None,1.0,18.0,18.0,1.0,1.0,13.0,1.0,3.0
18,2.0,8.0,0.7,0.5,0.0,0.9,0.254186582833,0.9,0.0,5.0,red,None,None,right,left,32.0,left,-1.0,17.0,17.0,1.0,1.0,13.0,2.0,3.0
19,2.0,9.0,0.7,0.5,0.0,0.9,0.22876792455,0.9,0.0,5.0,green,None,None,None,left,10002.0,None,1.0,16.0,18.0,1.0,2.0,13.0,2.0,3.0
20,2.0,10.0,0.7,0.5,0.0,0.9,0.22876792455,0.9,0.0,5.0,green,None,None,None,left,10002.0,None,1.0,15.0,19.0,1.0,3.0,13.0,2.0,3.0
